episode,timesteps,success,episode_len,min_dist,ever_visible,rolling_sr
1,2,0,2,5.075343608856201,0,0.0
2,4,0,2,3.335487127304077,0,0.0
3,12,0,8,3.766256809234619,0,0.0
4,13,0,1,2.539693832397461,0,0.0
5,28,0,15,2.2739315032958984,0,0.0
6,33,0,5,2.438887119293213,0,0.0
7,60,1,27,1.0629962682724,1,0.14285714285714285
8,63,0,3,1.903896689414978,0,0.125
9,69,0,6,2.2632274627685547,0,0.1111111111111111
10,73,0,4,3.856142044067383,0,0.1
11,95,0,22,2.771109104156494,0,0.09090909090909091
12,115,0,20,1.1264334917068481,0,0.08333333333333333
13,125,1,10,1.2401798963546753,1,0.15384615384615385
14,133,0,8,3.9575304985046387,0,0.14285714285714285
15,158,0,25,1.5095051527023315,1,0.13333333333333333
16,168,0,10,1.33122718334198,1,0.125
17,170,0,2,1.705764651298523,0,0.11764705882352941
18,174,0,4,1.5053151845932007,1,0.1111111111111111
19,182,0,8,3.886324882507324,0,0.10526315789473684
20,194,0,12,1.311122179031372,0,0.1
21,198,0,4,1.0464333295822144,0,0.09523809523809523
22,200,0,2,1.6387083530426025,0,0.09090909090909091
23,209,0,9,2.9849929809570312,0,0.08695652173913043
24,210,0,1,2.268035888671875,0,0.08333333333333333
25,211,0,1,4.561378002166748,0,0.08
26,214,0,3,3.3528330326080322,0,0.07692307692307693
27,216,0,2,3.336247205734253,0,0.07407407407407407
28,217,0,1,3.136413097381592,0,0.07142857142857142
29,220,0,3,1.843275547027588,1,0.06896551724137931
30,223,0,3,4.333242893218994,0,0.06666666666666667
31,225,0,2,1.7111668586730957,0,0.06451612903225806
32,233,0,8,3.8127708435058594,0,0.0625
33,242,0,9,2.898221969604492,0,0.06060606060606061
34,264,0,22,1.3800508975982666,0,0.058823529411764705
35,268,0,4,3.122788190841675,0,0.05714285714285714
36,295,0,27,2.8559730052948,0,0.05555555555555555
37,298,0,3,2.406918525695801,0,0.05405405405405406
38,301,0,3,1.5180186033248901,0,0.05263157894736842
39,303,0,2,3.580385208129883,0,0.05128205128205128
40,318,0,15,1.0886942148208618,1,0.05
41,330,0,12,2.5867648124694824,0,0.04878048780487805
42,338,0,8,3.122788906097412,0,0.047619047619047616
43,349,0,11,1.2366833686828613,1,0.046511627906976744
44,375,0,26,1.9962669610977173,0,0.045454545454545456
45,376,0,1,3.925705671310425,0,0.044444444444444446
46,380,0,4,2.7077317237854004,0,0.043478260869565216
47,385,0,5,1.1324719190597534,0,0.0425531914893617
48,408,0,23,3.0023386478424072,0,0.041666666666666664
49,414,0,6,1.16588294506073,0,0.04081632653061224
50,417,0,3,2.0974700450897217,0,0.04
51,420,0,3,4.166052341461182,0,0.0392156862745098
52,468,0,48,1.9912943840026855,1,0.038461538461538464
53,475,1,7,1.3333255052566528,1,0.05660377358490566
54,476,0,1,3.0231680870056152,0,0.05555555555555555
55,493,0,17,3.252781391143799,0,0.05454545454545454
56,504,0,11,3.0338995456695557,0,0.05357142857142857
57,520,0,16,1.9912943840026855,0,0.05263157894736842
58,530,0,10,1.9883555173873901,0,0.05172413793103448
59,548,0,18,1.2401636838912964,1,0.05084745762711865
