global_step,lr,episode_index,episode_return,episode_len,episode_success,best_sbbox,episode_ever_visible,episode_min_dist,scene,goal
12,0.000699958,1,-0.08,4,0,0.0,0,3.553,FloorPlan227,Laptop
14,0.000699951,2,-0.04,2,0,0.0,0,1.671,FloorPlan5,GarbageCan
15,0.0006999475,3,-0.02,1,0,0.0,0,1.455,FloorPlan30,Mug
17,0.0006999405,4,-0.04,2,0,0.0,0,1.328,FloorPlan203,Book
26,0.000699909,1,-0.3179671556122449,17,0,0.002,0,1.672,FloorPlan413,ToiletPaper
27,0.0006999055,2,5.0,1,1,0.0,1,0.843,FloorPlan207,RemoteControl
28,0.000699902,3,-0.02,1,0,0.0,0,3.952,FloorPlan22,Bowl
29,0.0006998985000000001,4,-0.02,1,0,0.0,0,0.994,FloorPlan301,AlarmClock
30,0.000699895,5,-0.02,1,0,0.0,0,1.951,FloorPlan318,AlarmClock
31,0.0006998915,5,-0.02,1,0,0.0,0,2.152,FloorPlan316,AlarmClock
32,0.000699888,6,-0.02,1,0,0.0,0,2.152,FloorPlan204,Laptop
33,0.0006998845,7,5.0,1,1,0.0,1,1.137,FloorPlan413,ToiletPaper
34,0.000699881,6,-0.02,1,0,0.0,0,1.839,FloorPlan414,Towel
35,0.0006998775,7,-0.02,1,0,0.0,0,2.4,FloorPlan409,SoapBottle
36,0.0006998740000000001,8,-0.02,1,0,0.0,0,2.592,FloorPlan15,Mug
37,0.0006998705,9,-0.02,1,0,0.0,0,1.147,FloorPlan428,SoapBottle
38,0.000699867,10,-0.02,1,0,0.0,0,1.993,FloorPlan419,SoapBottle
39,0.0006998635000000001,11,-0.02,1,0,0.0,0,2.767,FloorPlan3,Bowl
40,0.00069986,8,-0.02,1,0,0.0,0,1.873,FloorPlan328,TeddyBear
41,0.0006998565,9,-0.02,1,0,0.0,0,1.906,FloorPlan414,SoapBottle
42,0.000699853,10,-0.02,1,0,0.0,0,2.594,FloorPlan206,Laptop
43,0.0006998495000000001,11,-0.02,1,0,0.0,0,1.678,FloorPlan4,GarbageCan
44,0.000699846,12,-0.02,1,0,0.0,0,3.808,FloorPlan230,Laptop
45,0.0006998425,13,-0.02,1,0,0.0,0,2.995,FloorPlan330,Pillow
46,0.0006998390000000001,14,-0.02,1,0,0.0,0,1.749,FloorPlan305,Pillow
47,0.0006998355,12,-0.02,1,0,0.0,0,2.954,FloorPlan321,AlarmClock
48,0.000699832,13,-0.02,1,0,0.0,0,2.025,FloorPlan314,AlarmClock
49,0.0006998285,15,-0.02,1,0,0.0,0,1.886,FloorPlan209,Book
50,0.0006998250000000001,14,-0.02,1,0,0.0,0,4.195,FloorPlan323,TeddyBear
51,0.0006998215,16,-0.02,1,0,0.0,0,1.65,FloorPlan206,RemoteControl
52,0.000699818,17,-0.02,1,0,0.0,0,2.449,FloorPlan225,Laptop
53,0.0006998145,15,-0.02,1,0,0.0,0,3.691,FloorPlan323,TeddyBear
54,0.0006998109999999999,18,-0.02,1,0,0.0,0,1.658,FloorPlan5,Apple
55,0.0006998074999999999,16,-0.02,1,0,0.0,0,1.491,FloorPlan17,Apple
56,0.000699804,17,-0.02,1,0,0.0,0,1.639,FloorPlan304,AlarmClock
57,0.0006998005,19,5.0,1,1,0.0,1,1.176,FloorPlan226,Laptop
58,0.0006997969999999999,20,-0.02,1,0,0.0,0,4.758,FloorPlan317,TeddyBear
59,0.0006997934999999999,18,-0.02,1,0,0.0,0,2.871,FloorPlan229,Book
60,0.00069979,21,-0.02,1,0,0.0,0,2.747,FloorPlan312,AlarmClock
61,0.0006997865,22,-0.02,1,0,0.0,0,1.927,FloorPlan302,TeddyBear
62,0.0006997829999999999,19,-0.02,1,0,0.0,0,2.029,FloorPlan423,ToiletPaper
63,0.0006997795,20,-0.02,1,0,0.0,0,1.781,FloorPlan309,Pillow
64,0.000699776,23,-0.02,1,0,0.0,0,1.504,FloorPlan401,SoapBottle
65,0.0006997724999999999,24,-0.02,1,0,0.0,0,1.607,FloorPlan409,SoapBottle
66,0.0006997689999999999,25,-0.02,1,0,0.0,0,2.113,FloorPlan405,Towel
67,0.0006997655,21,-0.02,1,0,0.0,0,1.984,FloorPlan312,AlarmClock
68,0.000699762,22,-0.02,1,0,0.0,0,2.185,FloorPlan217,RemoteControl
69,0.0006997584999999999,23,-0.02,1,0,0.0,0,2.149,FloorPlan28,Apple
70,0.000699755,24,-0.02,1,0,0.0,0,3.707,FloorPlan11,Mug
71,0.0006997515,26,-0.02,1,0,0.0,0,1.737,FloorPlan407,ToiletPaper
72,0.0006997479999999999,27,-0.02,1,0,0.0,0,2.552,FloorPlan10,GarbageCan
73,0.0006997445,25,5.0,1,1,0.0,1,1.077,FloorPlan405,SoapBottle
74,0.000699741,28,-0.02,1,0,0.0,0,1.378,FloorPlan414,Towel
75,0.0006997375,26,-0.02,1,0,0.0,0,2.197,FloorPlan416,SoapBottle
76,0.0006997339999999999,27,-0.02,1,0,0.0,0,4.756,FloorPlan211,Laptop
77,0.0006997305,29,-0.02,1,0,0.0,0,2.425,FloorPlan227,Laptop
78,0.000699727,28,-0.02,1,0,0.0,0,3.329,FloorPlan225,RemoteControl
79,0.0006997234999999999,30,-0.02,1,0,0.0,0,2.298,FloorPlan1,Bowl
80,0.00069972,29,-0.02,1,0,0.0,0,2.208,FloorPlan403,SoapBottle
81,0.0006997165,31,-0.02,1,0,0.0,0,2.246,FloorPlan327,AlarmClock
82,0.000699713,30,-0.02,1,0,0.0,0,4.798,FloorPlan430,SoapBottle
83,0.0006997094999999999,32,-0.02,1,0,0.0,0,2.906,FloorPlan204,Laptop
84,0.000699706,33,-0.02,1,0,0.0,0,1.299,FloorPlan317,TeddyBear
85,0.0006997025,34,-0.02,1,0,0.0,0,0.712,FloorPlan426,Towel
86,0.0006996989999999999,31,-0.02,1,0,0.0,0,1.036,FloorPlan315,AlarmClock
87,0.0006996955,35,-0.02,1,0,0.0,0,2.42,FloorPlan228,Laptop
88,0.000699692,32,-0.02,1,0,0.0,0,2.575,FloorPlan419,Towel
89,0.0006996885,33,-0.02,1,0,0.0,0,1.749,FloorPlan401,Towel
90,0.000699685,36,-0.02,1,0,0.0,0,1.731,FloorPlan221,Laptop
91,0.0006996815,34,-0.02,1,0,0.0,0,3.867,FloorPlan317,Pillow
92,0.000699678,35,-0.02,1,0,0.0,0,2.515,FloorPlan402,Towel
93,0.0006996744999999999,37,-0.02,1,0,0.0,0,1.888,FloorPlan3,Mug
94,0.000699671,38,5.0,1,1,0.0,1,1.036,FloorPlan421,Towel
95,0.0006996675,36,-0.02,1,0,0.0,0,2.794,FloorPlan227,RemoteControl
96,0.000699664,39,-0.02,1,0,0.0,0,2.321,FloorPlan417,SoapBottle
97,0.0006996605,37,-0.02,1,0,0.0,0,1.906,FloorPlan222,Laptop
98,0.000699657,40,-0.02,1,0,0.0,0,1.012,FloorPlan30,Apple
99,0.0006996535,41,-0.02,1,0,0.0,0,1.966,FloorPlan26,Bowl
100,0.00069965,38,-0.02,1,0,0.0,0,0.555,FloorPlan424,SoapBottle
101,0.0006996465,42,-0.02,1,0,0.0,0,2.285,FloorPlan8,Bowl
102,0.000699643,39,-0.02,1,0,0.0,0,1.771,FloorPlan401,ToiletPaper
103,0.0006996395,40,-0.02,1,0,0.0,0,1.637,FloorPlan304,Pillow
104,0.000699636,43,-0.02,1,0,0.0,0,1.407,FloorPlan20,GarbageCan
105,0.0006996325,41,-0.02,1,0,0.0,0,3.296,FloorPlan220,RemoteControl
106,0.000699629,44,-0.02,1,0,0.0,0,1.118,FloorPlan209,RemoteControl
107,0.0006996255,42,-0.02,1,0,0.0,0,2.127,FloorPlan326,TeddyBear
108,0.000699622,45,-0.02,1,0,0.0,0,1.538,FloorPlan22,Apple
109,0.0006996185,43,-0.02,1,0,0.0,0,3.4,FloorPlan14,GarbageCan
110,0.000699615,46,-0.02,1,0,0.0,0,1.361,FloorPlan1,Apple
111,0.0006996115,44,-0.02,1,0,0.0,0,0.927,FloorPlan422,Towel
112,0.000699608,47,-0.02,1,0,0.0,0,3.295,FloorPlan221,Laptop
113,0.0006996045,45,-0.02,1,0,0.0,0,2.992,FloorPlan2,GarbageCan
114,0.000699601,46,-0.02,1,0,0.0,0,1.175,FloorPlan428,Towel
115,0.0006995975,47,-0.02,1,0,0.0,0,3.674,FloorPlan18,Apple
116,0.000699594,48,-0.02,1,0,0.0,0,1.973,FloorPlan316,AlarmClock
117,0.0006995905,48,-0.02,1,0,0.0,0,2.821,FloorPlan417,ToiletPaper
118,0.000699587,49,-0.02,1,0,0.0,0,3.259,FloorPlan319,Pillow
119,0.0006995835,50,-0.02,1,0,0.0,0,1.526,FloorPlan415,SoapBottle
120,0.00069958,49,-0.02,1,0,0.0,0,1.953,FloorPlan228,RemoteControl
121,0.0006995765,50,-0.02,1,0,0.0,0,1.357,FloorPlan407,SoapBottle
122,0.000699573,51,-0.02,1,0,0.0,0,1.908,FloorPlan408,SoapBottle
123,0.0006995695,51,-0.02,1,0,0.0,0,2.978,FloorPlan202,Laptop
124,0.000699566,52,-0.02,1,0,0.0,0,1.464,FloorPlan306,TeddyBear
125,0.0006995625,52,-0.02,1,0,0.0,0,3.15,FloorPlan224,RemoteControl
126,0.000699559,53,-0.02,1,0,0.0,0,2.377,FloorPlan430,SoapBottle
127,0.0006995555,53,-0.02,1,0,0.0,0,1.019,FloorPlan5,Bowl
128,0.000699552,54,-0.02,1,0,0.0,0,1.323,FloorPlan314,AlarmClock
129,0.0006995485,54,-0.02,1,0,0.0,0,2.726,FloorPlan201,RemoteControl
130,0.000699545,55,-0.02,1,0,0.0,0,3.362,FloorPlan201,Book
131,0.0006995415,55,-0.02,1,0,0.0,0,1.716,FloorPlan327,Pillow
132,0.000699538,56,-0.02,1,0,0.0,0,3.143,FloorPlan324,AlarmClock
133,0.0006995345,57,5.0,1,1,0.0,1,0.877,FloorPlan9,Mug
134,0.000699531,56,5.0,1,1,0.0,1,0.689,FloorPlan401,SoapBottle
135,0.0006995275,58,-0.02,1,0,0.0,0,2.951,FloorPlan309,AlarmClock
136,0.000699524,57,5.0,1,1,0.0,1,1.148,FloorPlan422,SoapBottle
137,0.0006995205,59,-0.02,1,0,0.0,0,3.13,FloorPlan225,Laptop
138,0.000699517,60,-0.02,1,0,0.0,0,3.238,FloorPlan214,RemoteControl
139,0.0006995135,61,-0.02,1,0,0.0,0,1.804,FloorPlan215,RemoteControl
140,0.00069951,62,-0.02,1,0,0.0,0,1.052,FloorPlan25,Mug
141,0.0006995065,58,-0.02,1,0,0.0,0,2.407,FloorPlan411,ToiletPaper
142,0.000699503,63,-0.02,1,0,0.0,0,5.223,FloorPlan208,Laptop
143,0.0006994995,59,-0.02,1,0,0.0,0,3.099,FloorPlan212,RemoteControl
144,0.000699496,60,-0.02,1,0,0.0,0,2.253,FloorPlan426,SoapBottle
145,0.0006994925,64,-0.02,1,0,0.0,0,0.811,FloorPlan17,Bowl
146,0.000699489,61,-0.02,1,0,0.0,0,1.235,FloorPlan202,RemoteControl
147,0.0006994855,65,-0.02,1,0,0.0,0,3.698,FloorPlan19,Bowl
148,0.000699482,62,-0.02,1,0,0.0,0,1.119,FloorPlan417,SoapBottle
149,0.0006994785,66,-0.02,1,0,0.0,0,2.925,FloorPlan326,AlarmClock
150,0.000699475,67,-0.02,1,0,0.0,0,1.182,FloorPlan428,Towel
151,0.0006994715000000001,63,5.0,1,1,0.0,1,1.367,FloorPlan15,Bowl
